Hours_Studied,Attendance(%),Previous_Scores,Parental_Education_Level,Gender,Exam_Score
14,98,76,College,Female,69
17,97,89,High School,Male,69
21,78,55,College,Male,67
17,94,65,High School,Female,68
11,78,51,Postgraduate,Male,64
20,77,87,High School,Female,66
14,66,96,High School,Male,63
23,77,79,High School,Male,66
14,81,81,Postgraduate,Female,66
29,61,52,College,Female,67
15,78,75,High School,Male,65
18,91,76,High School,Female,68
25,87,52,High School,Male,68
13,85,89,High School,Male,65
21,96,64,College,Male,71
28,61,86,Postgraduate,Male,65
10,82,70,Postgraduate,Female,64
21,91,100,Postgraduate,Female,72
22,82,61,High School,Female,65
25,73,53,Postgraduate,Female,66
13,65,99,High School,Male,61
12,96,62,College,Female,68
23,79,82,Postgraduate,Female,69
22,95,69,College,Female,72
22,83,82,Postgraduate,Female,71
22,87,80,High School,Female,70
16,92,85,High School,Male,68
21,86,51,High School,Female,67
22,76,92,High School,Female,68
16,81,74,Postgraduate,Female,68
31,92,76,High School,Male,72
23,75,71,College,Male,65
13,76,99,High School,Female,66
24,64,90,High School,Male,65
14,97,66,College,Female,67
25,64,89,College,Male,66
27,86,72,High School,Male,69
15,77,94,College,Male,66
26,76,52,High School,Male,69
22,87,68,High School,Male,67
25,63,71,High School,Male,66
31,84,87,College,Male,71
19,91,59,College,Male,70
15,93,64,Postgraduate,Male,71
15,67,86,Postgraduate,Male,66
15,96,54,High School,Male,67
20,86,60,College,Female,66
22,95,88,Postgraduate,Male,72
22,79,94,High School,Male,68
25,82,86,High School,Female,69
20,97,76,Postgraduate,Male,71
29,96,55,Postgraduate,Female,70
18,78,91,College,Female,67
36,71,56,High School,Male,69
24,76,69,High School,Male,65
15,76,53,College,Male,65
14,71,85,High School,Male,64
23,71,75,College,Male,63
19,94,95,High School,Male,69
24,63,57,College,Female,64
23,87,91,High School,Male,72
20,67,76,High School,Male,63
15,74,68,High School,Female,64
11,62,82,College,Male,64
17,71,90,Postgraduate,Male,67
25,91,72,Postgraduate,Male,71
21,95,62,High School,Male,70
13,69,96,High School,Female,61
21,79,66,College,Male,67
22,79,100,College,Male,72
15,95,88,High School,Male,66
21,91,84,High School,Male,70
20,81,51,High School,Male,67
13,87,72,High School,Female,67
22,94,75,College,Female,71
23,60,69,College,Male,66
26,76,57,High School,Male,68
26,96,68,College,Female,74
12,90,54,High School,Male,64
14,82,65,College,Male,65
23,81,54,College,Male,66
23,74,88,High School,Male,66
23,81,84,High School,Male,68
43,86,97,High School,Female,78
23,77,69,High School,Female,67
27,89,89,High School,Male,74
26,94,79,Postgraduate,Male,74
24,66,82,High School,Female,62
18,78,77,High School,Male,66
25,76,89,High School,Female,69
15,87,52,College,Male,68
19,70,54,High School,Male,89
17,86,55,College,Male,66
20,95,64,High School,Female,68
34,77,80,High School,Male,69
9,96,82,College,Male,67
24,100,86,High School,Male,75
10,64,64,High School,Female,60
17,69,83,College,Female,66
27,98,56,College,Female,73
20,98,50,High School,Female,68
14,64,85,High School,Male,62
16,61,86,High School,Male,62
24,66,81,High School,Male,65
16,100,63,High School,Male,69
21,67,96,High School,Female,64
20,80,94,Postgraduate,Female,67
16,94,76,High School,Male,70
33,61,99,College,Female,70
24,84,65,High School,Female,69
8,71,75,High School,Male,61
21,94,96,Postgraduate,Male,69
16,71,73,High School,Male,63
25,87,74,High School,Male,67
15,87,54,,Male,65
19,69,61,High School,Male,66
23,61,58,High School,Male,63
25,76,78,High School,Female,68
13,72,66,Postgraduate,Male,65
18,92,54,High School,Male,67
17,92,75,Postgraduate,Female,68
16,78,83,College,Male,64
31,84,87,College,Male,71
22,84,92,High School,Female,69
12,93,74,Postgraduate,Male,67
26,77,70,College,Female,65
33,71,84,High School,Male,68
26,71,51,Postgraduate,Male,67
11,81,82,High School,Male,67
17,78,70,High School,Male,66
28,78,73,College,Female,70
16,64,65,Postgraduate,Female,65
23,89,56,Postgraduate,Female,69
25,69,70,High School,Female,65
14,68,65,College,Male,63
20,77,98,Postgraduate,Female,67
1,69,97,High School,Female,61
14,83,82,High School,Female,65
18,75,95,College,Female,66
13,78,88,College,Male,66
30,81,67,High School,Male,69
11,68,80,College,Female,63
17,66,61,Postgraduate,Male,65
21,95,84,High School,Male,67
29,77,52,High School,Female,69
11,76,92,Postgraduate,Male,65
27,61,79,High School,Male,65
20,80,53,College,Male,65
14,82,94,College,Female,67
23,82,94,High School,Male,66
21,88,93,High School,Female,72
16,67,89,College,Male,66
20,70,84,College,Male,65
18,92,70,High School,Male,69
21,98,57,High School,Female,68
24,65,64,Postgraduate,Male,64
30,80,67,College,Female,69
13,69,68,High School,Female,59
33,62,78,High School,Female,68
8,73,60,High School,Female,60
19,66,59,High School,Male,62
24,88,86,College,Male,67
22,81,50,High School,Female,68
16,66,57,High School,Female,64
19,60,72,High School,Female,65
17,92,57,High School,Female,65
16,67,98,High School,Female,63
25,84,84,High School,Male,70
22,73,72,High School,Female,66
16,83,56,High School,Female,68
25,73,69,High School,Female,66
22,63,83,College,Male,63
25,69,98,College,Female,66
24,68,74,High School,Female,65
15,77,85,Postgraduate,Male,66
17,86,60,College,Female,67
24,71,81,High School,Male,66
24,60,62,High School,Female,63
20,81,60,High School,Male,66
21,84,75,College,Male,67
28,99,61,High School,Male,71
16,84,86,High School,Female,67
23,79,97,High School,Male,69
19,83,70,Postgraduate,Female,67
19,97,66,College,Female,72
27,93,59,High School,Female,70
25,73,70,Postgraduate,Male,67
25,69,78,High School,Female,64
28,71,69,College,Female,67
20,80,81,Postgraduate,Male,69
24,90,83,College,Male,68
18,80,55,High School,Male,63
22,63,85,College,Female,68
19,89,95,High School,Male,70
21,92,51,College,Male,66
24,72,78,High School,Female,68
15,87,80,College,Male,67
33,77,85,High School,Female,69
14,96,69,College,Female,66
13,94,91,High School,Male,68
27,81,77,Postgraduate,Female,69
25,88,70,Postgraduate,Male,70
24,95,86,College,Male,74
24,80,96,College,Female,70
20,73,91,Postgraduate,Male,66
15,90,97,College,Female,69
20,69,63,Postgraduate,Male,64
16,76,56,High School,Male,62
26,95,77,High School,Female,70
19,89,52,High School,Male,68
15,76,84,College,Female,65
18,69,62,High School,Male,65
22,74,73,Postgraduate,Female,71
17,71,83,High School,Male,66
15,67,74,College,Male,61
21,90,62,High School,Male,67
21,70,94,College,Male,65
17,78,88,High School,Female,65
17,75,80,High School,Male,65
21,99,85,High School,Male,73
11,76,71,College,Male,62
12,63,69,College,Female,60
16,64,58,College,Female,61
19,84,90,Postgraduate,Male,67
22,84,69,College,Male,70
29,77,85,College,Male,69
25,77,65,College,Female,66
19,62,90,College,Male,64
20,81,55,Postgraduate,Male,68
14,80,81,Postgraduate,Female,67
20,66,90,College,Female,64
18,64,83,College,Male,65
22,65,85,Postgraduate,Female,66
15,64,76,High School,Female,63
23,84,78,High School,Female,68
29,68,53,High School,Male,66
19,70,63,High School,Male,63
22,67,86,High School,Female,63
24,98,97,College,Male,74
18,94,77,College,Male,70
21,69,86,High School,Male,68
20,73,84,Postgraduate,Female,66
21,68,100,High School,Male,63
15,80,90,College,Female,67
20,61,81,High School,Male,62
23,87,56,Postgraduate,Male,71
29,81,68,Postgraduate,Male,72
26,96,63,Postgraduate,Male,72
33,67,93,High School,Female,68
15,92,72,High School,Female,66
25,92,77,High School,Male,70
21,65,98,Postgraduate,Male,66
33,76,92,Postgraduate,Female,72
15,67,89,High School,Female,64
15,70,57,High School,Female,63
16,71,51,Postgraduate,Female,61
7,82,56,High School,Male,62
17,76,87,High School,Female,68
15,98,71,High School,Male,68
21,65,56,High School,Male,63
22,99,87,High School,Female,70
31,69,60,Postgraduate,Female,68
26,91,79,High School,Female,72
17,74,87,College,Male,67
15,66,80,College,Male,61
23,94,100,Postgraduate,Male,69
12,72,72,High School,Female,61
31,86,66,College,Male,75
27,83,60,College,Female,68
17,79,75,High School,Male,65
10,80,93,College,Female,67
28,89,97,High School,Female,75
19,64,99,College,Male,64
27,87,77,High School,Male,70
10,96,80,High School,Female,67
16,62,79,High School,Male,63
20,66,73,College,Female,65
20,89,58,High School,Female,67
17,77,53,College,Male,86
24,76,72,High School,Female,67
14,65,59,Postgraduate,Male,63
19,80,94,College,Female,66
21,65,88,,Male,65
23,79,81,High School,Female,67
24,91,52,College,Male,69
13,70,81,Postgraduate,Male,66
11,79,81,High School,Male,64
28,100,72,Postgraduate,Female,73
22,87,83,College,Male,66
16,94,93,Postgraduate,Female,68
29,77,88,College,Male,70
21,91,74,,Female,69
27,62,63,High School,Female,67
20,65,74,College,Male,62
32,68,97,High School,Male,68
31,76,91,Postgraduate,Male,72
19,94,51,Postgraduate,Male,69
26,74,89,High School,Male,66
24,86,59,High School,Female,70
28,88,79,High School,Male,71
14,83,90,College,Female,65
24,74,78,College,Female,70
26,83,70,High School,Male,65
9,74,66,High School,Female,62
13,63,65,High School,Male,62
8,100,92,Postgraduate,Female,70
18,65,91,College,Male,66
24,63,91,High School,Female,67
29,95,64,High School,Female,72
20,72,90,Postgraduate,Female,66
30,86,52,College,Female,68
12,73,60,High School,Male,62
10,76,76,Postgraduate,Male,64
20,70,70,Postgraduate,Female,65
22,74,56,Postgraduate,Male,66
20,76,52,High School,Female,64
8,89,81,College,Male,67
19,80,66,College,Female,69
12,98,51,Postgraduate,Male,68
24,62,72,High School,Male,64
22,80,65,High School,Female,68
14,83,79,High School,Male,64
17,97,96,Postgraduate,Male,71
14,62,65,High School,Male,61
20,83,100,College,Male,68
26,94,54,,Male,73
14,70,54,College,Male,64
23,95,86,Postgraduate,Male,72
17,61,87,High School,Male,65
15,89,71,High School,Female,68
19,97,64,High School,Male,71
14,86,90,Postgraduate,Male,65
17,78,98,High School,Male,66
13,62,99,Postgraduate,Female,63
32,97,82,High School,Male,74
20,79,87,High School,Female,66
16,61,91,College,Male,63
21,88,90,High School,Male,72
19,79,100,College,Female,69
19,65,91,College,Male,67
24,69,83,High School,Male,66
25,63,69,High School,Female,64
17,83,80,College,Female,67
17,85,94,College,Female,69
18,80,65,College,Female,65
6,93,52,College,Female,64
11,94,66,High School,Female,65
28,85,98,High School,Male,72
30,61,90,High School,Female,66
19,88,59,College,Female,66
23,77,51,College,Male,67
22,83,83,Postgraduate,Male,69
38,86,79,High School,Male,73
27,74,54,College,Female,69
19,97,98,High School,Male,68
14,65,81,High School,Female,61
10,87,83,High School,Male,63
21,60,93,High School,Female,63
15,97,67,College,Male,68
11,65,78,Postgraduate,Female,63
16,64,79,Postgraduate,Female,66
14,73,98,High School,Female,65
30,75,57,College,Female,68
25,69,88,College,Female,66
20,83,79,Postgraduate,Male,66
29,78,92,High School,Male,70
20,61,92,High School,Female,61
15,73,51,High School,Male,61
29,92,63,High School,Male,71
23,88,59,High School,Male,67
14,89,73,College,Male,70
19,88,95,College,Male,69
15,72,50,High School,Female,65
12,64,74,High School,Male,61
26,71,94,Postgraduate,Male,68
31,93,96,High School,Male,74
12,99,83,High School,Female,67
23,80,91,High School,Female,70
16,60,66,High School,Female,59
17,66,64,College,Male,64
16,73,52,College,Female,66
15,83,75,High School,Female,63
20,63,73,College,Female,61
15,98,69,High School,Female,68
22,75,56,High School,Male,65
20,97,62,High School,Male,69
19,91,60,High School,Male,68
15,90,97,High School,Male,69
17,84,98,College,Female,67
25,85,50,College,Female,70
23,86,59,Postgraduate,Female,68
14,85,94,College,Male,67
21,82,52,High School,Male,67
25,99,97,College,Male,75
10,89,69,College,Male,63
23,91,77,High School,Male,70
16,95,88,High School,Female,70
23,69,62,High School,Male,64
15,63,55,College,Female,59
9,79,90,High School,Male,63
10,81,99,Postgraduate,Female,67
20,93,83,High School,Male,68
22,78,91,Postgraduate,Male,68
15,83,97,High School,Female,97
24,81,61,College,Female,66
10,62,68,Postgraduate,Male,61
20,85,61,College,Male,70
13,93,53,Postgraduate,Male,65
16,66,87,High School,Female,64
20,84,57,High School,Female,69
15,84,55,High School,Male,64
18,67,68,Postgraduate,Male,61
26,65,53,High School,Female,64
17,99,59,High School,Male,68
25,76,53,High School,Female,67
13,69,94,High School,Male,62
23,67,89,High School,Female,66
29,87,93,High School,Male,72
5,84,93,College,Male,68
15,86,97,High School,Male,71
23,64,59,High School,Female,65
19,96,95,High School,Female,68
22,76,76,High School,Female,65
16,73,58,High School,Female,64
21,78,83,High School,Male,65
19,76,66,High School,Male,65
27,95,52,College,Female,73
22,97,54,Postgraduate,Male,72
22,72,71,College,Male,64
18,95,91,Postgraduate,Male,69
17,91,66,High School,Male,69
17,97,88,High School,Male,70
22,70,53,High School,Female,83
17,83,70,Postgraduate,Female,68
22,71,56,College,Female,84
32,93,93,Postgraduate,Female,75
25,60,98,Postgraduate,Female,67
18,83,66,Postgraduate,Male,69
27,74,99,High School,Male,71
18,73,88,College,Female,66
8,86,50,College,Male,65
14,94,74,College,Male,70
9,84,92,Postgraduate,Male,66
18,94,77,Postgraduate,Male,74
20,71,77,High School,Male,66
30,81,72,High School,Male,68
22,78,70,College,Male,68
19,60,51,College,Female,62
25,82,81,Postgraduate,Male,71
7,86,88,College,Female,63
21,84,90,High School,Male,69
25,89,81,College,Male,71
11,83,67,Postgraduate,Male,66
27,63,51,Postgraduate,Male,64
22,65,95,High School,Female,65
18,84,71,High School,Female,69
24,71,80,High School,Female,66
34,63,60,High School,Female,67
21,77,57,High School,Male,65
21,82,54,College,Male,65
17,73,90,High School,Male,67
15,89,82,College,Male,66
25,86,81,High School,Male,69
15,73,96,College,Male,64
20,90,58,High School,Male,70
17,86,59,Postgraduate,Male,68
23,85,59,,Male,68
22,82,71,High School,Female,69
26,60,94,High School,Female,68
17,88,94,College,Female,70
18,75,80,High School,Female,67
14,98,83,College,Male,72
17,93,95,High School,Male,69
22,84,81,High School,Male,69
25,70,61,College,Female,64
14,68,85,High School,Female,63
25,74,88,High School,Male,70
28,79,82,High School,Male,70
22,72,64,College,Female,66
31,81,70,Postgraduate,Female,70
15,67,74,Postgraduate,Female,66
13,99,57,College,Male,68
9,64,73,College,Male,61
29,97,58,College,Female,72
24,97,75,High School,Female,69
20,81,53,,Female,63
22,89,97,High School,Male,72
13,77,62,College,Male,65
35,85,73,High School,Female,74
21,74,52,High School,Male,62
21,72,60,Postgraduate,Male,65
24,83,85,High School,Female,68
23,80,56,,Male,66
21,83,81,Postgraduate,Male,71
15,71,50,Postgraduate,Female,62
23,75,73,High School,Female,65
31,63,86,Postgraduate,Male,68
28,62,96,High School,Male,70
30,70,75,High School,Female,67
17,63,92,High School,Female,63
14,64,90,High School,Female,63
19,93,65,High School,Male,69
20,62,94,Postgraduate,Male,66
27,86,82,High School,Female,70
10,71,55,College,Female,63
29,95,97,College,Female,72
19,79,59,College,Male,65
17,72,74,Postgraduate,Male,67
14,81,73,High School,Male,63
10,75,81,High School,Female,65
25,83,83,High School,Female,67
20,65,62,Postgraduate,Male,80
12,100,68,College,Male,68
12,77,57,College,Male,63
18,74,56,College,Male,64
30,88,91,High School,Female,73
18,75,88,Postgraduate,Female,66
11,93,72,College,Male,66
19,78,55,High School,Male,66
18,89,72,High School,Female,69
4,64,65,High School,Male,59
20,94,89,High School,Male,68
19,89,55,Postgraduate,Female,67
24,68,73,High School,Female,64
31,66,80,High School,Female,65
27,73,99,College,Male,68
18,99,54,Postgraduate,Male,70
13,70,56,High School,Male,62
35,78,99,High School,Male,72
20,61,70,High School,Female,62
20,76,87,Postgraduate,Male,68
20,83,89,High School,Female,69
21,98,66,High School,Male,73
19,81,61,Postgraduate,Male,69
17,93,64,High School,Female,67
17,82,88,Postgraduate,Male,65
20,62,92,Postgraduate,Male,63
17,73,85,High School,Male,66
16,83,72,College,Male,66
21,98,63,Postgraduate,Male,70
18,94,71,Postgraduate,Male,69
29,69,96,High School,Female,70
4,69,93,High School,Female,58
27,68,66,High School,Male,67
27,97,66,High School,Male,73
8,94,89,High School,Female,66
18,91,71,High School,Male,70
18,76,79,Postgraduate,Female,67
12,80,71,High School,Female,60
15,79,62,College,Male,65
13,70,59,Postgraduate,Female,63
31,80,57,High School,Female,72
26,61,51,High School,Female,62
28,65,64,Postgraduate,Male,70
24,95,59,College,Male,70
13,90,63,High School,Female,64
17,77,54,High School,Male,64
23,81,67,,Female,67
13,75,76,,Male,64
24,90,97,High School,Male,72
19,91,67,College,Female,66
18,91,52,High School,Female,66
24,89,68,Postgraduate,Female,71
23,68,91,Postgraduate,Female,66
18,74,67,High School,Male,64
27,79,65,College,Male,66
14,73,96,High School,Female,62
24,90,65,High School,Male,70
24,73,99,High School,Female,69
18,66,92,High School,Male,65
22,76,84,High School,Male,70
12,99,80,High School,Male,70
26,69,61,College,Male,67
19,84,87,High School,Female,69
17,77,67,High School,Female,62
26,63,74,High School,Female,67
16,80,55,College,Male,65
12,88,65,High School,Male,65
11,81,76,Postgraduate,Male,65
24,95,73,High School,Male,69
12,72,67,High School,Male,63
31,63,74,College,Male,66
8,97,87,High School,Male,67
30,75,73,College,Male,69
21,83,75,High School,Male,67
19,92,85,High School,Male,70
17,73,92,High School,Male,67
22,89,76,High School,Male,70
20,65,97,High School,Female,65
27,72,68,College,Male,63
21,66,63,High School,Female,64
21,92,85,High School,Male,69
18,69,59,High School,Female,60
20,89,95,High School,Male,69
22,98,69,High School,Female,72
10,81,85,College,Male,63
12,82,79,College,Female,63
24,78,53,,Male,66
21,73,85,College,Male,70
19,79,90,College,Female,68
20,84,99,High School,Male,69
22,99,71,College,Female,72
17,98,75,College,Male,67
15,94,94,High School,Male,68
21,96,63,Postgraduate,Female,70
14,79,59,Postgraduate,Male,68
22,86,57,College,Male,69
10,96,99,College,Female,68
26,76,64,College,Female,66
23,98,88,Postgraduate,Female,72
22,77,72,High School,Male,67
26,84,62,High School,Male,70
30,88,96,High School,Male,73
26,98,73,Postgraduate,Male,73
9,70,78,High School,Female,60
12,90,61,College,Male,67
16,81,66,High School,Male,69
20,71,87,High School,Male,65
23,91,67,,Female,70
16,82,75,College,Female,68
21,86,56,College,Female,66
15,73,93,College,Male,65
16,79,87,College,Female,64
12,85,88,College,Female,67
14,76,59,High School,Male,65
12,68,75,High School,Male,64
14,98,51,High School,Male,67
26,80,66,Postgraduate,Male,70
14,89,67,High School,Female,63
36,76,96,College,Male,71
23,74,100,High School,Male,68
21,76,81,College,Female,67
15,76,76,Postgraduate,Female,67
24,82,72,Postgraduate,Female,68
17,82,51,Postgraduate,Male,66
21,80,90,College,Male,68
35,65,84,High School,Male,70
19,80,82,College,Male,67
27,67,90,High School,Male,67
16,65,96,High School,Male,62
20,97,69,High School,Male,67
31,84,71,High School,Male,70
16,86,99,College,Male,72
31,76,83,High School,Female,70
24,96,93,High School,Female,94
17,86,61,High School,Male,66
24,91,66,High School,Male,69
26,75,70,Postgraduate,Male,68
24,98,66,High School,Male,71
11,93,94,High School,Male,69
16,94,76,High School,Female,67
19,67,98,Postgraduate,Female,64
20,71,66,College,Female,63
24,71,52,College,Female,66
21,71,57,Postgraduate,Female,66
12,94,61,College,Male,69
22,61,82,High School,Female,64
24,63,59,High School,Male,62
23,71,69,,Female,66
26,68,90,High School,Male,70
25,69,56,High School,Male,67
23,92,54,Postgraduate,Female,68
20,83,77,,Male,67
10,60,85,Postgraduate,Male,62
23,77,96,College,Male,67
21,76,83,High School,Male,68
22,65,97,High School,Female,64
12,87,62,High School,Female,64
14,88,67,Postgraduate,Male,66
26,89,92,Postgraduate,Male,72
20,89,91,High School,Female,72
24,60,83,High School,Male,66
20,98,75,College,Male,72
20,93,51,High School,Male,69
26,96,64,High School,Female,72
17,61,58,High School,Male,60
21,97,53,High School,Male,69
17,92,89,High School,Male,68
17,93,57,College,Male,69
18,64,68,High School,Male,62
21,90,99,,Male,71
17,98,70,High School,Male,70
28,87,57,High School,Male,68
15,83,84,College,Male,68
19,98,90,College,Female,70
17,78,64,High School,Female,65
29,84,90,Postgraduate,Male,73
21,79,64,College,Male,66
26,97,85,High School,Male,71
11,63,56,High School,Female,62
22,80,71,High School,Female,68
25,87,76,College,Male,70
20,92,86,Postgraduate,Female,68
26,83,83,College,Female,71
17,96,93,High School,Female,70
28,98,59,High School,Male,72
34,63,83,College,Male,69
18,76,56,College,Male,63
17,61,74,Postgraduate,Female,62
29,73,76,High School,Female,68
29,81,51,Postgraduate,Male,70
17,96,54,High School,Male,69
17,94,92,High School,Male,68
18,65,64,High School,Male,65
12,64,67,High School,Male,59
14,84,82,College,Male,66
14,81,61,High School,Male,64
15,71,60,High School,Female,63
20,96,71,College,Male,72
21,97,53,High School,Male,67
29,76,96,Postgraduate,Male,94
14,96,97,High School,Female,70
26,75,72,High School,Male,66
19,89,60,Postgraduate,Female,69
20,79,74,High School,Male,64
24,65,55,High School,Female,63
13,97,70,Postgraduate,Female,71
22,78,54,High School,Male,65
21,89,85,College,Female,68
23,75,64,High School,Male,64
22,61,76,College,Male,64
35,64,51,High School,Male,66
16,80,76,College,Male,68
17,88,50,College,Female,67
16,73,96,High School,Female,66
17,88,75,High School,Male,68
16,88,55,Postgraduate,Male,66
27,88,67,College,Male,71
29,80,52,High School,Female,71
17,97,77,College,Male,68
15,80,56,High School,Female,64
23,78,74,High School,Male,67
17,68,65,High School,Male,64
24,72,88,High School,Female,68
21,62,74,Postgraduate,Male,62
11,85,92,College,Male,64
29,70,97,Postgraduate,Male,70
31,72,98,College,Male,68
16,91,63,College,Female,69
18,73,88,College,Male,65
22,70,72,High School,Male,67
22,67,71,College,Male,65
24,91,93,High School,Male,71
32,65,57,High School,Female,65
19,78,74,High School,Female,66
15,80,80,High School,Female,65
12,87,53,College,Male,65
16,85,93,High School,Male,68
20,92,66,College,Male,68
31,62,83,College,Female,67
17,72,96,High School,Male,65
21,71,86,College,Male,66
20,66,94,High School,Female,63
27,72,53,Postgraduate,Male,70
35,72,75,College,Male,72
17,81,78,High School,Male,67
17,87,84,College,Male,67
26,75,56,High School,Male,66
24,89,83,High School,Male,66
31,73,57,High School,Male,69
24,72,53,High School,Male,62
18,82,73,College,Female,66
24,61,80,Postgraduate,Male,64
27,63,98,High School,Female,67
25,77,85,College,Male,71
23,98,80,,Male,73
26,89,61,High School,Female,68
27,64,58,Postgraduate,Male,66
28,94,80,Postgraduate,Male,75
24,89,61,Postgraduate,Female,72
19,84,85,High School,Male,68
21,93,56,High School,Male,68
27,76,67,High School,Male,69
15,69,89,College,Female,63
22,80,92,High School,Female,70
18,82,67,Postgraduate,Male,66
20,82,60,High School,Male,66
28,83,98,Postgraduate,Male,72
21,98,88,Postgraduate,Male,71
20,96,90,College,Male,72
12,95,61,College,Male,69
24,92,71,High School,Male,71
24,98,53,Postgraduate,Male,69
33,64,55,College,Female,68
18,71,61,College,Male,61
21,80,65,Postgraduate,Male,68
21,94,100,Postgraduate,Male,72
29,80,71,College,Female,70
19,90,85,Postgraduate,Female,73
22,66,95,High School,Female,67
24,70,62,College,Male,65
21,89,57,High School,Female,68
17,67,62,High School,Male,65
21,74,94,High School,Male,97
26,71,83,College,Male,66
14,74,73,High School,Female,67
21,88,91,High School,Female,70
16,75,62,High School,Female,66
27,82,62,High School,Female,69
11,64,78,College,Male,62
17,92,90,High School,Male,68
22,75,63,College,Male,67
29,86,61,High School,Female,68
20,89,74,High School,Male,69
17,68,57,High School,Female,62
31,95,87,Postgraduate,Male,75
11,85,79,High School,Male,65
7,77,76,College,Male,63
23,67,94,College,Male,66
17,98,87,College,Female,71
14,90,57,College,Male,66
24,68,71,College,Male,66
21,74,66,High School,Male,66
17,92,90,,Male,71
12,88,86,High School,Male,68
25,91,74,College,Male,71
24,78,91,Postgraduate,Female,68
19,89,71,High School,Male,68
31,75,90,High School,Male,68
14,68,52,College,Male,62
11,85,57,High School,Male,65
16,99,88,Postgraduate,Male,71
20,72,56,College,Male,63
21,78,84,High School,Male,68
19,87,86,High School,Female,69
22,82,83,College,Male,69
12,94,91,Postgraduate,Female,71
29,90,76,Postgraduate,Female,71
20,62,95,High School,Male,62
27,100,78,High School,Male,70
22,90,75,College,Male,70
23,95,75,College,Male,73
23,86,96,High School,Female,71
23,94,62,Postgraduate,Female,69
24,64,85,Postgraduate,Male,66
28,74,62,High School,Male,65
21,95,55,College,Male,71
24,68,98,High School,Male,68
