Date,Product,Category,Region,Quantity,Sales($)
03-02-2021,Laptop,Computers,West,4,2193.63
03-02-2021,Keyboard,Accessories,West,4,299.52
03-02-2021,Webcam,Accessories,Central,3,
03-02-2021,Webcam,Accessories,South,2,168.04
03-02-2021,Speaker,Audio,West,3,418.23
03-02-2021,Laptop,Computers,East,2,1465.86
04-02-2021,Smartphone,Mobile,North,2,920.53
05-02-2021,Mouse,Accessories,East,2,73.16
05-02-2021,Webcam,Accessories,West,2,130.34
05-02-2021,Monitor,Computers,Central,1,299.45
05-02-2021,Mouse,Accessories,North,2,67.89
05-02-2021,Smartphone,Mobile,East,1,574.66
06-02-2021,Laptop,Computers,West,3,2073.51
06-02-2021,Laptop,Computers,West,2,1517.18
07-02-2021,Monitor,Computers,East,1,291.92
08-02-2021,Keyboard,Accessories,West,1,72.42
08-02-2021,Headphones,Accessories,Central,1,87.98
09-02-2021,Mouse,Accessories,Central,2,69.74
10-02-2021,Speaker,Audio,East,3,397.55
10-02-2021,Mouse,Accessories,Central,2,68.48
10-02-2021,Laptop,Computers,North,2,1435.52
10-02-2021,Laptop,Computers,West,1,685.85
10-02-2021,Mouse,Accessories,Central,3,100.32
10-02-2021,Keyboard,Accessories,North,4,267.36
10-02-2021,Webcam,Accessories,West,2,153.04
11-02-2021,Speaker,Audio,South,3,423.9
11-02-2021,Monitor,Computers,East,2,627.62
11-02-2021,Speaker,Audio,North,1,114.66
11-02-2021,Webcam,Accessories,North,3,219.89
12-02-2021,Keyboard,Accessories,East,1,70.56
12-02-2021,Tablet,Mobile,East,3,1229.97
12-02-2021,Mouse,Accessories,Central,2,63
13-02-2021,Mouse,Accessories,North,2,71.06
13-02-2021,Smartwatch,Wearables,North,3,582.88
13-02-2021,Laptop,Computers,North,2,1271.77
14-02-2021,Speaker,Audio,Central,3,382.11
14-02-2021,Keyboard,Accessories,East,2,
15-02-2021,Tablet,Mobile,East,2,652.05
16-02-2021,Smartwatch,Wearables,West,3,539.1
16-02-2021,Smartwatch,Wearables,West,1,195.87
17-02-2021,Webcam,Accessories,Central,3,198.54
17-02-2021,Smartwatch,Wearables,East,1,205.63
18-02-2021,Mouse,Accessories,North,3,113.55
18-02-2021,Mouse,Accessories,West,2,55.31
19-02-2021,Headphones,Accessories,West,2,205.5
19-02-2021,Mouse,Accessories,North,1,31.39
19-02-2021,Smartphone,Mobile,South,2,1015.48
20-02-2021,Keyboard,Accessories,Central,3,162.62
20-02-2021,Keyboard,Accessories,South,1,67.18
21-02-2021,Laptop,Computers,West,3,
22-02-2021,Keyboard,Accessories,North,1,59.37
22-02-2021,Keyboard,Accessories,East,2,142.75
22-02-2021,Smartphone,Mobile,Central,3,1687.56
23-02-2021,Speaker,Audio,Central,4,547.2
23-02-2021,Monitor,Computers,North,2,516.24
23-02-2021,Headphones,Accessories,Central,5,482.27
23-02-2021,Tablet,Mobile,West,2,763.6
23-02-2021,Keyboard,Accessories,Central,1,55.14
24-02-2021,Tablet,Mobile,West,4,1407.89
24-02-2021,Laptop,Computers,South,1,767.18
25-02-2021,Keyboard,Accessories,Central,2,135.32
26-02-2021,Monitor,Computers,Central,3,914.91
26-02-2021,Mouse,Accessories,North,3,111.45
27-02-2021,Laptop,Computers,East,5,2763.24
27-02-2021,Monitor,Computers,Central,3,861.68
27-02-2021,Laptop,Computers,East,2,1460.95
28-02-2021,Mouse,Accessories,Central,2,67.73
28-02-2021,Laptop,Computers,East,2,1428.62
01-03-2021,Smartphone,Mobile,West,3,1503.98
02-03-2021,Monitor,Computers,South,4,1350.16
02-03-2021,Monitor,Computers,West,3,1015.08
03-03-2021,Smartphone,Mobile,South,1,445.38
05-03-2021,Headphones,Accessories,South,5,466.84
06-03-2021,Smartwatch,Wearables,West,4,972.32
07-03-2021,Tablet,Mobile,South,1,461.77
07-03-2021,Speaker,Audio,West,3,456.54
07-03-2021,Monitor,Computers,West,2,687.54
07-03-2021,Speaker,Audio,West,4,549.98
08-03-2021,Keyboard,Accessories,Central,3,244.19
08-03-2021,Tablet,Mobile,Central,2,858.44
08-03-2021,Mouse,Accessories,East,1,40.42
08-03-2021,Webcam,Accessories,East,4,368.87
09-03-2021,Tablet,Mobile,Central,2,777.63
10-03-2021,Speaker,Audio,Central,4,546.8
10-03-2021,Smartwatch,Wearables,West,3,692.33
10-03-2021,Laptop,Computers,Central,1,747.57
11-03-2021,Smartphone,Mobile,North,3,1466.54
11-03-2021,Speaker,Audio,West,5,787.95
11-03-2021,Laptop,Computers,Central,2,1562.84
11-03-2021,Smartphone,Mobile,South,4,2202.25
13-03-2021,Monitor,Computers,East,2,664.06
13-03-2021,Smartphone,Mobile,East,1,627.52
14-03-2021,Speaker,Audio,East,1,124.61
15-03-2021,Tablet,Mobile,South,1,413.6
15-03-2021,Mouse,Accessories,East,2,81.24
15-03-2021,Headphones,Accessories,North,1,104.92
16-03-2021,Headphones,Accessories,East,3,351.12
16-03-2021,Headphones,Accessories,South,6,727.08
17-03-2021,Headphones,Accessories,South,4,508
17-03-2021,Headphones,Accessories,South,1,128.29
17-03-2021,Monitor,Computers,West,4,1179.97
18-03-2021,Smartphone,Mobile,West,2,940.64
19-03-2021,Webcam,Accessories,South,3,242.25
19-03-2021,Laptop,Computers,East,1,841.54
20-03-2021,Webcam,Accessories,South,2,175.7
20-03-2021,Tablet,Mobile,Central,3,1140.91
20-03-2021,Tablet,Mobile,Central,2,747.27
20-03-2021,Smartwatch,Wearables,West,2,396.51
21-03-2021,Webcam,Accessories,Central,6,440.88
21-03-2021,Webcam,Accessories,North,2,137.58
21-03-2021,Mouse,Accessories,South,3,129.42
22-03-2021,Mouse,Accessories,West,2,73.24
22-03-2021,Webcam,Accessories,West,1,83.33
22-03-2021,Tablet,Mobile,West,3,1285.18
23-03-2021,Keyboard,Accessories,East,4,272.92
24-03-2021,Webcam,Accessories,South,4,339
24-03-2021,Headphones,Accessories,Central,1,117.55
24-03-2021,Webcam,Accessories,East,1,82.19
24-03-2021,Headphones,Accessories,West,6,703.5
25-03-2021,Keyboard,Accessories,East,3,251.94
25-03-2021,Smartphone,Mobile,East,2,1202.2
25-03-2021,Keyboard,Accessories,East,3,220.32
26-03-2021,Webcam,Accessories,South,4,309.44
27-03-2021,Headphones,Accessories,West,2,213.39
27-03-2021,Smartphone,Mobile,South,4,2074.28
27-03-2021,Keyboard,Accessories,North,2,138.31
27-03-2021,Headphones,Accessories,North,5,553.4
27-03-2021,Laptop,Computers,Central,3,
28-03-2021,Smartwatch,Wearables,North,1,256.31
28-03-2021,Headphones,Accessories,South,3,347.73
28-03-2021,Smartwatch,Wearables,Central,1,268.46
29-03-2021,Headphones,Accessories,Central,3,279.14
29-03-2021,Mouse,Accessories,West,1,34.65
30-03-2021,Speaker,Audio,South,3,445.86
30-03-2021,Mouse,Accessories,Central,2,80.18
30-03-2021,Smartphone,Mobile,North,2,1203.5
31-03-2021,Smartphone,Mobile,South,1,610.19
31-03-2021,Smartwatch,Wearables,East,2,447.56
31-03-2021,Speaker,Audio,West,4,582.04
31-03-2021,Tablet,Mobile,East,5,1996.25
01-04-2021,Headphones,Accessories,South,2,237.01
01-04-2021,Headphones,Accessories,East,3,337.78
01-04-2021,Laptop,Computers,West,1,646.89
01-04-2021,Laptop,Computers,South,1,
02-04-2021,Keyboard,Accessories,West,5,387.99
02-04-2021,Mouse,Accessories,North,2,79.5
02-04-2021,Smartwatch,Wearables,Central,3,761.22
02-04-2021,Smartwatch,Wearables,South,1,208.73
02-04-2021,Speaker,Audio,South,3,456.45
03-04-2021,Keyboard,Accessories,East,1,67.97
03-04-2021,Keyboard,Accessories,South,2,144.74
03-04-2021,Laptop,Computers,South,2,1302.56
03-04-2021,Laptop,Computers,Central,3,2005.65
03-04-2021,Laptop,Computers,East,3,2282.14
04-04-2021,Laptop,Computers,Central,1,860.15
04-04-2021,Speaker,Audio,East,3,391.3
04-04-2021,Mouse,Accessories,East,3,110.11
04-04-2021,Smartwatch,Wearables,East,1,236.5
05-04-2021,Headphones,Accessories,West,1,115.86
05-04-2021,Keyboard,Accessories,West,2,152.04
06-04-2021,Smartphone,Mobile,East,5,2768.85
06-04-2021,Smartphone,Mobile,East,5,2768.85
07-04-2021,Smartphone,Mobile,South,4,2128.54
07-04-2021,Laptop,Computers,East,3,2226.81
07-04-2021,Keyboard,Accessories,East,3,190.54
07-04-2021,Monitor,Computers,West,4,1084.74
08-04-2021,Tablet,Mobile,North,2,898.62
08-04-2021,Smartphone,Mobile,West,2,1213.34
09-04-2021,Headphones,Accessories,South,3,338.43
10-04-2021,Laptop,Computers,East,1,724.81
10-04-2021,Smartwatch,Wearables,East,2,487.38
10-04-2021,Mouse,Accessories,South,3,92.38
10-04-2021,Mouse,Accessories,East,3,119.25
10-04-2021,Speaker,Audio,North,2,272.03
11-04-2021,Smartphone,Mobile,West,1,556.32
11-04-2021,Webcam,Accessories,South,5,464.9
11-04-2021,Webcam,Accessories,West,2,176.68
12-04-2021,Webcam,Accessories,North,3,256.41
12-04-2021,Headphones,Accessories,North,1,104.66
12-04-2021,Keyboard,Accessories,Central,2,135.9
13-04-2021,Smartwatch,Wearables,West,3,702.36
13-04-2021,Speaker,Audio,East,1,161.66
13-04-2021,Laptop,Computers,East,4,3350.6
14-04-2021,Monitor,Computers,South,2,699.62
14-04-2021,Tablet,Mobile,North,2,829.81
14-04-2021,Webcam,Accessories,South,4,321.06
15-04-2021,Speaker,Audio,Central,2,287.86
15-04-2021,Headphones,Accessories,South,3,345.78
15-04-2021,Keyboard,Accessories,West,2,147.37
16-04-2021,Headphones,Accessories,East,3,325.67
17-04-2021,Tablet,Mobile,West,3,1042.42
17-04-2021,Speaker,Audio,South,1,146.67
17-04-2021,Monitor,Computers,South,3,986.13
18-04-2021,Headphones,Accessories,West,2,242.12
19-04-2021,Mouse,Accessories,East,4,172.36
19-04-2021,Smartphone,Mobile,West,2,1096.09
19-04-2021,Laptop,Computers,South,3,2487.18
19-04-2021,Speaker,Audio,Central,4,612.48
20-04-2021,Keyboard,Accessories,East,1,84.15
20-04-2021,Smartphone,Mobile,East,3,1906.56
20-04-2021,Monitor,Computers,North,4,1238.27
21-04-2021,Smartphone,Mobile,West,4,2261.08
21-04-2021,Smartphone,Mobile,Central,2,1156.74
21-04-2021,Smartphone,Mobile,West,4,2242.04
21-04-2021,Laptop,Computers,East,3,2276.82
22-04-2021,Smartwatch,Wearables,West,1,
22-04-2021,Smartwatch,Wearables,West,4,966.24
22-04-2021,Smartphone,Mobile,North,4,2343.72
22-04-2021,Headphones,Accessories,Central,2,198.45
22-04-2021,Headphones,Accessories,Central,4,499
22-04-2021,Smartphone,Mobile,East,3,1753.14
22-04-2021,Headphones,Accessories,Central,2,198.45
22-04-2021,Headphones,Accessories,West,2,226.19
22-04-2021,Headphones,Accessories,Central,1,112.43
22-04-2021,Monitor,Computers,West,1,374.68
24-04-2021,Mouse,Accessories,South,3,103.11
25-04-2021,Mouse,Accessories,Central,3,105.89
25-04-2021,Headphones,Accessories,West,5,590.05
25-04-2021,Tablet,Mobile,East,4,1775.76
25-04-2021,Tablet,Mobile,West,2,933.36
26-04-2021,Headphones,Accessories,Central,2,226.28
26-04-2021,Webcam,Accessories,South,3,258.84
27-04-2021,Smartphone,Mobile,East,3,1457.04
27-04-2021,Speaker,Audio,South,3,389.53
27-04-2021,Smartphone,Mobile,North,4,2240.88
27-04-2021,Webcam,Accessories,North,2,152.69
27-04-2021,Keyboard,Accessories,South,1,85.54
28-04-2021,Monitor,Computers,Central,3,1094.04
28-04-2021,Speaker,Audio,North,2,221.17
29-04-2021,Laptop,Computers,West,3,2582.79
29-04-2021,Webcam,Accessories,East,2,181.83
29-04-2021,Headphones,Accessories,Central,2,236.56
29-04-2021,Headphones,Accessories,North,3,329.49
29-04-2021,Keyboard,Accessories,West,2,144.74
29-04-2021,Headphones,Accessories,South,4,458.2
30-04-2021,Smartwatch,Wearables,West,2,510.24
30-04-2021,Speaker,Audio,North,1,141.75
01-05-2021,Tablet,Mobile,South,1,481.82
02-05-2021,Smartphone,Mobile,North,2,1002.95
02-05-2021,Keyboard,Accessories,South,2,167.42
02-05-2021,Monitor,Computers,North,3,1075.83
03-05-2021,Webcam,Accessories,North,3,265.59
03-05-2021,Speaker,Audio,Central,2,285.37
04-05-2021,Keyboard,Accessories,Central,3,229.53
04-05-2021,Smartwatch,Wearables,East,2,461.92
05-05-2021,Monitor,Computers,West,1,318.32
07-05-2021,Speaker,Audio,East,3,460.44
07-05-2021,Headphones,Accessories,South,3,366.21
08-05-2021,Keyboard,Accessories,West,1,83
08-05-2021,Webcam,Accessories,West,3,228.68
09-05-2021,Smartphone,Mobile,North,3,1710.51
09-05-2021,Smartwatch,Wearables,East,4,976.6
09-05-2021,Tablet,Mobile,South,1,469.47
10-05-2021,Smartwatch,Wearables,East,1,261.5
10-05-2021,Webcam,Accessories,East,4,317.34
11-05-2021,Webcam,Accessories,North,2,177.94
11-05-2021,Smartwatch,Wearables,West,1,241.21
11-05-2021,Webcam,Accessories,Central,4,313.81
11-05-2021,Webcam,Accessories,South,3,274.51
11-05-2021,Mouse,Accessories,Central,3,125.73
11-05-2021,Monitor,Computers,West,1,323.49
12-05-2021,Monitor,Computers,North,2,602.57
13-05-2021,Tablet,Mobile,North,3,1210.46
13-05-2021,Webcam,Accessories,Central,1,83.84
14-05-2021,Smartphone,Mobile,South,2,1257.96
14-05-2021,Smartphone,Mobile,North,2,1197.72
14-05-2021,Smartphone,Mobile,South,2,1257.96
15-05-2021,Headphones,Accessories,South,3,292.78
15-05-2021,Speaker,Audio,East,2,251.45
15-05-2021,Tablet,Mobile,East,2,813.17
16-05-2021,Smartwatch,Wearables,North,3,593.81
16-05-2021,Headphones,Accessories,Central,2,196.54
17-05-2021,Monitor,Computers,Central,3,1095
17-05-2021,Headphones,Accessories,North,1,112.73
18-05-2021,Mouse,Accessories,Central,3,112.16
18-05-2021,Mouse,Accessories,West,4,141.03
18-05-2021,Smartwatch,Wearables,North,2,536.12
18-05-2021,Smartwatch,Wearables,Central,2,447.28
18-05-2021,Smartphone,Mobile,Central,3,1683.84
18-05-2021,Laptop,Computers,East,1,677.46
18-05-2021,Smartphone,Mobile,Central,3,1893.51
18-05-2021,Smartphone,Mobile,Central,3,1660.92
19-05-2021,Smartwatch,Wearables,East,5,1059.21
19-05-2021,Speaker,Audio,South,3,398.74
19-05-2021,Keyboard,Accessories,South,1,62.9
19-05-2021,Laptop,Computers,East,3,2404.14
19-05-2021,Webcam,Accessories,Central,2,157.73
20-05-2021,Mouse,Accessories,West,3,101.82
20-05-2021,Smartphone,Mobile,Central,4,1879.21
20-05-2021,Tablet,Mobile,South,1,446.83
22-05-2021,Webcam,Accessories,South,3,245.7
22-05-2021,Tablet,Mobile,South,4,1631.77
22-05-2021,Mouse,Accessories,East,3,89.3
22-05-2021,Smartwatch,Wearables,West,3,737.79
23-05-2021,Mouse,Accessories,West,3,116.07
24-05-2021,Smartwatch,Wearables,North,3,623.19
24-05-2021,Keyboard,Accessories,Central,1,76.73
25-05-2021,Speaker,Audio,East,3,382.51
26-05-2021,Mouse,Accessories,South,2,71.91
27-05-2021,Laptop,Computers,South,4,2919.31
27-05-2021,Smartwatch,Wearables,West,2,512.52
27-05-2021,Smartphone,Mobile,South,2,1291.26
28-05-2021,Keyboard,Accessories,South,1,79.29
28-05-2021,Smartwatch,Wearables,South,2,406.42
28-05-2021,Monitor,Computers,South,2,624.29
29-05-2021,Webcam,Accessories,East,3,260.04
29-05-2021,Speaker,Audio,South,3,469.83
30-05-2021,Laptop,Computers,Central,1,823.85
30-05-2021,Keyboard,Accessories,East,1,78.95
30-05-2021,Headphones,Accessories,West,3,294.67
30-05-2021,Laptop,Computers,South,3,2337.88
30-05-2021,Monitor,Computers,Central,2,651.66
31-05-2021,Laptop,Computers,East,5,3992.9
31-05-2021,Laptop,Computers,South,3,2062.85
31-05-2021,Mouse,Accessories,North,1,39.61
02-06-2021,Monitor,Computers,South,1,309.62
02-06-2021,Headphones,Accessories,South,2,241.24
02-06-2021,Webcam,Accessories,East,4,340.4
03-06-2021,Monitor,Computers,South,2,667.01
03-06-2021,Keyboard,Accessories,Central,3,248.37
03-06-2021,Smartwatch,Wearables,East,2,450.79
04-06-2021,Laptop,Computers,North,4,2663.56
04-06-2021,Tablet,Mobile,Central,1,481.71
04-06-2021,Tablet,Mobile,South,4,1350.3
06-06-2021,Smartphone,Mobile,Central,3,1336.94
06-06-2021,Webcam,Accessories,West,1,69.49
07-06-2021,Smartwatch,Wearables,East,2,474.16
07-06-2021,Headphones,Accessories,West,1,99.82
08-06-2021,Mouse,Accessories,West,5,192.55
08-06-2021,Monitor,Computers,West,3,1061.43
09-06-2021,Smartphone,Mobile,West,3,1662.03
09-06-2021,Speaker,Audio,Central,1,151.67
09-06-2021,Laptop,Computers,South,4,2761.09
10-06-2021,Headphones,Accessories,South,2,192.32
10-06-2021,Keyboard,Accessories,West,3,258
10-06-2021,Speaker,Audio,East,2,230.78
11-06-2021,Speaker,Audio,West,3,426.41
11-06-2021,Mouse,Accessories,East,3,125.58
12-06-2021,Smartphone,Mobile,South,2,1278.88
12-06-2021,Laptop,Computers,South,4,3231.8
12-06-2021,Webcam,Accessories,East,1,90.65
14-06-2021,Speaker,Audio,Central,4,472.84
15-06-2021,Monitor,Computers,Central,2,651.36
15-06-2021,Laptop,Computers,North,2,1679.06
16-06-2021,Keyboard,Accessories,East,3,178.73
16-06-2021,Headphones,Accessories,East,2,205.23
16-06-2021,Speaker,Audio,South,2,299.04
16-06-2021,Keyboard,Accessories,West,4,278.57
16-06-2021,Smartphone,Mobile,Central,2,1169
17-06-2021,Keyboard,Accessories,West,3,220.11
17-06-2021,Mouse,Accessories,North,3,109.34
17-06-2021,Webcam,Accessories,North,2,169.44
17-06-2021,Smartwatch,Wearables,West,2,392.26
18-06-2021,Smartphone,Mobile,South,2,924.45
18-06-2021,Monitor,Computers,South,2,648.98
18-06-2021,Smartphone,Mobile,South,2,1133.66
18-06-2021,Smartwatch,Wearables,Central,2,442.96
19-06-2021,Mouse,Accessories,Central,4,143.04
19-06-2021,Keyboard,Accessories,North,1,71.91
20-06-2021,Tablet,Mobile,East,4,1906.84
20-06-2021,Smartwatch,Wearables,West,1,215.87
20-06-2021,Smartphone,Mobile,East,1,508.01
20-06-2021,Headphones,Accessories,Central,2,233.44
21-06-2021,Tablet,Mobile,East,5,2266.61
21-06-2021,Webcam,Accessories,West,2,160.36
22-06-2021,Keyboard,Accessories,West,4,304.4
22-06-2021,Webcam,Accessories,South,4,334.96
22-06-2021,Tablet,Mobile,Central,2,702.72
22-06-2021,Monitor,Computers,West,2,712.82
22-06-2021,Laptop,Computers,Central,2,1675.66
23-06-2021,Smartphone,Mobile,North,5,2597.99
23-06-2021,Laptop,Computers,South,3,2586
23-06-2021,Tablet,Mobile,West,4,1468.96
23-06-2021,Tablet,Mobile,East,1,474.62
23-06-2021,Tablet,Mobile,North,2,847.54
23-06-2021,Webcam,Accessories,South,1,80.22
23-06-2021,Monitor,Computers,East,1,321.45
24-06-2021,Keyboard,Accessories,Central,1,81.26
24-06-2021,Speaker,Audio,Central,4,598.08
25-06-2021,Tablet,Mobile,North,2,859.98
25-06-2021,Monitor,Computers,South,4,1408.05
25-06-2021,Mouse,Accessories,North,3,99.94
25-06-2021,Laptop,Computers,North,3,2227.5
25-06-2021,Smartphone,Mobile,South,2,1227.32
26-06-2021,Smartwatch,Wearables,South,4,809.23
26-06-2021,Keyboard,Accessories,North,4,323.8
27-06-2021,Smartwatch,Wearables,West,3,764.66
27-06-2021,Mouse,Accessories,East,2,75.85
28-06-2021,Smartwatch,Wearables,East,2,503.16
28-06-2021,Tablet,Mobile,West,2,920.66
28-06-2021,Monitor,Computers,West,1,352.32
28-06-2021,Smartphone,Mobile,South,2,1020.6
30-06-2021,Monitor,Computers,East,2,685.5
30-06-2021,Smartphone,Mobile,East,3,1696.41
01-07-2021,Headphones,Accessories,West,4,367.78
01-07-2021,Tablet,Mobile,North,1,342.85
02-07-2021,Speaker,Audio,East,1,128.4
02-07-2021,Smartphone,Mobile,West,2,865.24
03-07-2021,Mouse,Accessories,East,1,35.75
03-07-2021,Keyboard,Accessories,East,1,66.93
04-07-2021,Keyboard,Accessories,Central,2,
04-07-2021,Tablet,Mobile,North,2,701.84
04-07-2021,Monitor,Computers,East,1,301.23
04-07-2021,Headphones,Accessories,East,2,188.02
04-07-2021,Keyboard,Accessories,North,2,142.46
04-07-2021,Keyboard,Accessories,East,2,118.69
05-07-2021,Keyboard,Accessories,North,1,54.23
05-07-2021,Speaker,Audio,West,1,98.24
05-07-2021,Keyboard,Accessories,East,2,
05-07-2021,Webcam,Accessories,East,2,149.36
05-07-2021,Laptop,Computers,West,2,1104.15
06-07-2021,Speaker,Audio,Central,1,134.5
06-07-2021,Smartphone,Mobile,North,2,920.65
06-07-2021,Webcam,Accessories,West,4,231.81
07-07-2021,Laptop,Computers,East,3,1795.96
07-07-2021,Speaker,Audio,South,5,680.35
07-07-2021,Speaker,Audio,South,5,680.35
07-07-2021,Headphones,Accessories,North,3,296.25
07-07-2021,Tablet,Mobile,Central,2,717.84
08-07-2021,Laptop,Computers,West,3,1898.76
08-07-2021,Smartphone,Mobile,South,3,1283.92
10-07-2021,Keyboard,Accessories,East,3,216.66
10-07-2021,Monitor,Computers,West,3,760.72
10-07-2021,Headphones,Accessories,North,1,91
10-07-2021,Mouse,Accessories,North,2,64.66
11-07-2021,Webcam,Accessories,South,1,72.94
11-07-2021,Headphones,Accessories,South,3,263.45
11-07-2021,Headphones,Accessories,South,4,339.05
12-07-2021,Monitor,Computers,East,3,832.14
13-07-2021,Monitor,Computers,North,3,876.93
13-07-2021,Laptop,Computers,West,2,1376.72
13-07-2021,Mouse,Accessories,Central,2,50.75
13-07-2021,Smartphone,Mobile,West,2,1095.48
13-07-2021,Webcam,Accessories,West,2,163.74
14-07-2021,Smartphone,Mobile,South,2,1007.42
14-07-2021,Keyboard,Accessories,East,3,196.23
14-07-2021,Keyboard,Accessories,East,2,116.82
15-07-2021,Webcam,Accessories,North,3,212.55
15-07-2021,Tablet,Mobile,South,1,381
15-07-2021,Webcam,Accessories,South,2,132.84
15-07-2021,Webcam,Accessories,North,2,154.7
15-07-2021,Speaker,Audio,West,2,258.66
15-07-2021,Mouse,Accessories,Central,2,69.34
16-07-2021,Keyboard,Accessories,South,1,71.94
16-07-2021,Monitor,Computers,Central,2,632.04
17-07-2021,Smartphone,Mobile,Central,2,980.66
17-07-2021,Monitor,Computers,South,2,554.54
18-07-2021,Monitor,Computers,North,2,558.81
18-07-2021,Laptop,Computers,Central,3,1704.72
18-07-2021,Laptop,Computers,South,3,1943.13
18-07-2021,Smartphone,Mobile,South,2,880.79
19-07-2021,Smartwatch,Wearables,Central,2,422.77
19-07-2021,Headphones,Accessories,North,2,187.68
20-07-2021,Keyboard,Accessories,South,2,134.75
20-07-2021,Headphones,Accessories,West,3,229.34
20-07-2021,Keyboard,Accessories,Central,1,58.99
21-07-2021,Smartphone,Mobile,North,1,501.92
21-07-2021,Smartphone,Mobile,North,1,501.92
22-07-2021,Monitor,Computers,South,1,286.06
22-07-2021,Tablet,Mobile,North,2,763.6
22-07-2021,Headphones,Accessories,Central,3,244.39
22-07-2021,Mouse,Accessories,Central,3,98.55
23-07-2021,Tablet,Mobile,Central,1,387.41
23-07-2021,Monitor,Computers,East,1,274.77
23-07-2021,Headphones,Accessories,South,4,401.68
23-07-2021,Mouse,Accessories,North,1,33.35
24-07-2021,Keyboard,Accessories,West,3,195.12
24-07-2021,Speaker,Audio,West,2,262.46
25-07-2021,Headphones,Accessories,South,1,98.84
